frame_idx,time_s,x,y
387,12.885212,287.60,1014.35
388,12.918507,288.94,1003.59
389,12.951802,289.26,993.21
390,12.985097,290.97,981.31
391,13.018392,292.00,968.90
392,13.051687,293.89,954.03
393,13.084982,294.91,941.37
394,13.118277,297.29,927.60
395,13.151573,300.29,910.49
396,13.184868,303.71,896.87
397,13.218163,306.56,879.59
398,13.251458,309.90,865.63
399,13.284753,313.31,851.39
400,13.318048,317.84,839.93
401,13.351343,320.33,828.98
402,13.384638,321.58,819.79
403,13.417934,325.95,811.92
404,13.451229,329.17,807.33
405,13.484524,330.53,803.50
406,13.517819,332.06,802.86
407,13.551114,331.94,802.85
408,13.584409,331.87,803.60
409,13.617704,328.48,805.69
410,13.650999,328.65,806.50
411,13.684295,329.89,806.88
412,13.717590,334.58,806.30
413,13.750885,336.20,806.51
414,13.784180,337.45,807.13
415,13.817475,338.32,808.01
416,13.850770,338.97,808.64
417,13.884065,339.67,809.14
418,13.917360,340.50,809.48
419,13.950655,341.22,809.92
420,13.983951,341.82,809.81
421,14.017246,342.09,809.68
422,14.050541,342.05,809.36
423,14.083836,342.10,808.78
424,14.117131,341.98,808.08
425,14.150426,341.75,807.36
426,14.183721,341.45,806.40
427,14.217016,340.82,805.56
428,14.250312,339.51,804.69
429,14.283607,338.07,803.91
430,14.316902,336.67,803.33
431,14.350197,335.09,802.48
432,14.383492,333.58,801.71
433,14.416787,332.07,801.18
434,14.450082,330.69,801.79
435,14.483377,328.88,802.13
436,14.516673,327.67,802.58
437,14.549968,325.33,803.02
438,14.583263,319.99,803.17
439,14.616558,317.65,803.11
440,14.649853,315.16,803.50
441,14.683148,312.57,804.11
442,14.716443,310.02,805.13
443,14.749738,307.09,806.69
444,14.783034,304.56,808.71
445,14.816329,302.59,810.48
446,14.849624,300.31,814.23
447,14.882919,298.91,818.38
448,14.916214,296.53,824.65
449,14.949509,293.90,830.59
450,14.982804,294.03,836.78
451,15.016099,291.31,845.18
452,15.049394,290.16,853.34
453,15.082690,288.58,861.44
454,15.115985,285.73,871.83
455,15.149280,285.07,881.31
456,15.182575,282.80,889.10
457,15.215870,282.10,901.17
458,15.249165,279.44,910.34
459,15.282460,276.97,921.26
460,15.315755,275.13,931.77
461,15.349051,273.32,942.28
462,15.382346,271.73,953.25
463,15.415641,269.64,963.55
464,15.448936,268.32,974.90
465,15.482231,267.73,983.77
466,15.515526,266.61,993.85
467,15.548821,265.39,1003.45
468,15.582116,264.49,1013.20
469,15.615412,263.62,1022.06
470,15.648707,262.91,1031.21
471,15.682002,262.18,1039.80
472,15.715297,262.24,1048.22
473,15.748592,262.51,1054.57
474,15.781887,262.17,1061.27
475,15.815182,262.23,1065.29
476,15.848477,262.50,1062.71
477,15.881772,263.34,1060.03
478,15.915068,264.46,1058.68
479,15.948363,265.36,1060.19
480,15.981658,266.35,1064.24
481,16.014953,267.63,1065.64
482,16.048248,268.77,1064.02
483,16.081543,269.61,1063.33
484,16.114838,270.30,1065.37
485,16.148133,271.47,1065.63
486,16.181429,272.33,1064.62
487,16.214724,273.28,1065.25
488,16.248019,274.09,1065.68
489,16.281314,274.86,1065.74
490,16.314609,275.57,1066.00
491,16.347904,276.32,1066.36
492,16.381199,277.04,1066.72
493,16.414494,277.69,1067.29
494,16.447790,278.22,1067.91
495,16.481085,278.87,1068.76
496,16.514380,279.46,1069.28
497,16.547675,279.91,1070.32
498,16.580970,280.21,1070.97
499,16.614265,280.31,1072.00
500,16.647560,280.43,1073.40
501,16.680855,280.44,1074.83
502,16.714150,280.01,1075.89
503,16.747446,279.86,1077.29
504,16.780741,279.53,1078.89
505,16.814036,279.34,1079.96
506,16.847331,279.59,1080.24
507,16.880626,279.87,1080.78
508,16.913921,280.09,1081.09
509,16.947216,280.73,1080.89
510,16.980511,281.06,1081.65
511,17.013807,281.18,1082.59
512,17.047102,281.45,1083.42
513,17.080397,281.69,1084.21
514,17.113692,281.65,1085.74
515,17.146987,282.38,1085.65
516,17.180282,282.95,1085.59
517,17.213577,283.51,1085.68
518,17.246872,283.99,1085.45
519,17.280168,284.52,1085.65
520,17.313463,284.89,1085.60
521,17.346758,285.32,1085.19
522,17.380053,285.55,1084.90
523,17.413348,285.69,1084.88
524,17.446643,285.74,1084.85
525,17.479938,285.62,1084.73
526,17.513233,285.42,1084.78
527,17.546529,285.08,1084.76
528,17.579824,284.65,1084.80
529,17.613119,284.19,1085.00
530,17.646414,283.71,1085.22
531,17.679709,283.18,1085.34
532,17.713004,282.61,1085.51
533,17.746299,282.14,1085.88
534,17.779594,281.73,1086.05
535,17.812889,281.47,1086.24
536,17.846185,281.18,1086.14
537,17.879480,281.07,1086.05
538,17.912775,281.21,1085.67
539,17.946070,281.25,1085.60
540,17.979365,281.26,1085.83
541,18.012660,281.47,1085.63
542,18.045955,281.64,1085.75
543,18.079250,281.68,1085.90
544,18.112546,281.81,1085.98
545,18.145841,282.01,1085.88
546,18.179136,282.02,1085.96
547,18.212431,282.04,1086.22
548,18.245726,282.11,1086.46
549,18.279021,282.22,1086.97
550,18.312316,282.21,1087.14
551,18.345611,282.21,1087.17
552,18.378907,282.16,1087.05
